name,district,rent,bedrooms,bathrooms,sizeSqm,floor,stationType,stationName,walkMinutes,latitude,longitude,status,lastVerified,furnished,billsIncluded,sixMonthOk,depositMonths,photoOrigin,description
XT Phayathai,,,,,,,BTS,Phaya Thai,,,,verify,,,,,,,
THE LINE Ratchathewi,,,,,,,BTS,Ratchathewi,,,,verify,,,,,,,
XT Ekkamai,,,,,,,BTS,Ekkamai,,,,verify,,,,,,,
Taka Haus,,,,,,,BTS,Ekkamai,,,,verify,,,,,,,
Oka Haus,,,,,,,BTS,Phra Khanong,,,,verify,,,,,,,
Kawa Haus,,,,,,,BTS,On Nut,,,,verify,,,,,,,
Mori Haus,,,,,,,BTS,Punnawithi,,,,verify,,,,,,,
Hasu Haus,,,,,,,BTS,Punnawithi,,,,verify,,,,,,,
The Base Phetchaburi-Thonglor,,,,,,,MRT,Phetchaburi,,,,verify,,,,,,,
The Line Sukhumvit 71,,,,,,,BTS,Phra Khanong,,,,verify,,,,,,,
The Line Sukhumvit 101,,,,,,,BTS,Punnawithi,,,,verify,,,,,,,
NIA by Sansiri,,,,,,,BTS,Phra Khanong,,,,verify,,,,,,,
THE LINE Asoke-Ratchada,,,,,,,MRT,Phra Ram 9,,,,verify,,,,,,,
XT Huai Khwang,,,,,,,MRT,Huai Khwang,,,,verify,,,,,,,
The Base Urban Rama 9,,,,,,,MRT,Phra Ram 9,,,,verify,,,,,,,
THE BASE Garden Rama 9,,,,,,,MRT,Phra Ram 9,,,,verify,,,,,,,
THE BASE Sukhumvit 50,,,,,,,BTS,On Nut,,,,verify,,,,,,,
